STATUS,ROLE,ITEM VERIFICADO,FLUXO ESPERADO (CSV),IMPLEMENTADO NO CÓDIGO,STATUS DIVERGÊNCIA,OBSERVAÇÃO
APPROVED,company,Botões ativos,Gerar PDF,canPDF=true (herdado do bloco externo linha 131),✅ OK,Correto
APPROVED,teacher+admin+sudo,Mensagem exibida,"O TCE foi aprovado com sucesso. O estágio pode ser iniciado. Se necessário altere o status para Iniciado ou Finalizado.","Código linhas 137-139: mensagem equivalente",✅ OK,Correto
APPROVED,teacher+admin+sudo,Formulário editável,FALSE,config.readonly = true,✅ OK,Correto
APPROVED,teacher+admin+sudo,Botões ativos,"Gerar PDF, Alterar status para Iniciado, Alterar status para Finalizado","canStart=true, canFinish=true, canPDF=true",✅ OK,Correto
STARTED,company,Mensagem exibida,O estágio encontra-se em andamento.,"Código linha 157: mensagem equivalente",✅ OK,Correto
STARTED,company,Formulário editável,FALSE,config não seta readonly=false → permanece true,✅ OK,Correto
STARTED,company,Botões ativos,Gerar PDF,canPDF=true (linha 147),✅ OK,Correto
STARTED,teacher+admin+sudo,Mensagem exibida,"O estágio foi iniciado. Acompanhe as atividades. Se necessário altere o status para Finalizado.","Código linhas 152-154: mensagem equivalente",✅ OK,Correto
STARTED,teacher+admin+sudo,Formulário editável,FALSE,config.readonly = true,✅ OK,Correto
STARTED,teacher+admin+sudo,Botões ativos,"Gerar PDF, Alterar status para Finalizado","canFinish=true, canPDF=true",✅ OK,Correto
FINISHED,company,Mensagem exibida,O estágio foi finalizado.,"Código linha 163: usa expressão ternária — isProf=false → 'finalizado'",✅ OK,Correto
FINISHED,company,Formulário editável,FALSE,readonly permanece true (não alterado),✅ OK,Correto
FINISHED,company,Botões ativos,Gerar PDF,canPDF=true (linha 161),✅ OK,Correto
FINISHED,teacher+admin+sudo,Mensagem exibida,O estágio foi concluído com sucesso.,"Código linha 163: isProf=true → 'concluído com sucesso'",✅ OK,Correto
FINISHED,teacher+admin+sudo,Formulário editável,FALSE,readonly permanece true,✅ OK,Correto
FINISHED,teacher+admin+sudo,Botões ativos,Gerar PDF,canPDF=true,✅ OK,Correto
ARCHIVED,company,Mensagem exibida,Este TCE foi arquivado e não pode mais ser editado.,"Código linha 168: isProf=false → 'e não pode mais ser editado'",✅ OK,Correto
ARCHIVED,company,Formulário editável,FALSE,readonly permanece true,✅ OK,Correto
ARCHIVED,company,Botões ativos,Gerar PDF,canPDF=true (linha 166),✅ OK,Correto
ARCHIVED,teacher+admin+sudo,Mensagem exibida,O TCE foi arquivado para registro institucional.,"Código linha 168: isProf=true → 'para registro institucional'",✅ OK,Correto
ARCHIVED,teacher+admin+sudo,Formulário editável,FALSE,readonly permanece true,✅ OK,Correto
ARCHIVED,teacher+admin+sudo,Botões ativos,Gerar PDF,canPDF=true,✅ OK,Correto
(TODOS OS ESTADOS),company,Botão Enviar para Avaliar — visibilidade extra,Só deve aparecer para company,"Linha 1298: condição pageConfig.canSubmitForApproval && pageData.user_role === 'company'",✅ OK,A proteção de role na renderização do botão está correta
(TODOS OS ESTADOS),teacher+admin+sudo,Label do botão Iniciar,CSV: ""Alterar status para Iniciado"",Código linha 1357: ""Alterar status para Estagiando"",⚠️ DIVERGÊNCIA DE LABEL,"O botão exibe 'Estagiando' mas o CSV especifica 'Iniciado'. O status interno salvo é STARTED (correto), mas o texto do botão difere do especificado."
